price,bedrooms,beds,cleaning_fee,guests_included,maximum_nights,minimum_nights,property_type,room_type,review_scores,street,country,country_code,availability_30,availability_60,availability_90,availability_365,latitude,longitude
80,3,5,35,6,30,2,House,Entire home/apt,89,"Porto, Porto, Portugal",Portugal,PT,28,47,74,239,41.1413,-8.61308
317,1,2,187,1,1125,2,Apartment,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-22.96625355,-43.23074991
115,1,1,100,1,365,3,Condominium,Entire home/apt,84,"Honolulu, HI, United States",United States,US,16,46,76,343,21.28634,-157.83919
40,1,1,0,1,1125,14,Apartment,Private room,100,"Brooklyn, NY, United States",United States,US,0,0,0,0,40.69791,-73.93615
701,1,1,250,1,1125,1,Apartment,Private room,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,28,58,88,363,-22.97195099,-43.20504708
135,1,1,135,1,360,12,Apartment,Private room,94,"New York, NY, United States",United States,US,0,0,0,93,40.79962,-73.96523
119,1,3,150,3,75,3,Apartment,Entire home/apt,98,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,7,19,33,118,-22.98433936,-43.19084919
527,2,6,211,1,1125,2,House,Entire home/apt,100,"Kadıköy, İstanbul, Turkey",Turkey,TR,27,57,87,362,40.98585,29.03133
250,1,8,0,4,1125,2,House,Private room,80,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,10,10,21,296,-22.92638235,-43.18015675
50,1,2,0,1,1125,1,Apartment,Entire home/apt,0,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.51889,-73.59111
205,2,2,0,1,1125,3,Apartment,Entire home/apt,88,"Brooklyn, NY, United States",United States,US,30,31,31,243,40.72778,-73.94472
43,1,1,0,1,1125,2,Apartment,Entire home/apt,0,"Montréal, Québec, Canada",Canada,CA,0,0,0,32,45.54548,-73.54949
699,1,2,0,1,20,4,Apartment,Entire home/apt,100,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,0,0,0,0,22.28158,114.15027
140,3,3,0,1,1125,1,Apartment,Entire home/apt,0,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.52233,-73.57383
858,2,2,112,1,20,15,Apartment,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-23.00035793,-43.43111231
